county,juris,industry,emp_all
53,Lakewood,9,5127
53,Milton,9,217
53,Orting,9,59
53,Puyallup,9,7022
53,Roy,9,-99
53,Ruston,9,69
53,Steilacoom,9,46
53,Sumner,9,467
53,Tacoma,9,32346
53,Unincorporated,9,4873
53,University Place,9,1256
61,Arlington,9,924
61,Bothell,9,792
61,Brier,9,17
61,Darrington,9,-99
61,Edmonds,9,3656
61,Everett,9,15012
61,Gold Bar,9,-99
61,Granite Falls,9,55
61,Lake Stevens,9,408
61,Lynnwood,9,3065
61,Marysville,9,2019
61,Mill Creek,9,854
61,Monroe,9,835
61,Mountlake Terrace,9,1077
61,Mukilteo,9,702
61,Snohomish,9,415
61,Stanwood,9,704
61,Sultan,9,92
61,Unincorporated,9,4604
61,Woodway,9,-99
99,Region,9,257396
99,Region,99,2318384
33,Algona,99,1960
33,Auburn,99,47359
33,Beaux Arts,99,15
33,Bellevue,99,162040
33,Black Diamond,99,711
33,Bothell,99,17473
33,Burien,99,13720
33,Carnation,99,644
33,Clyde Hill,99,1121
33,Covington,99,6132
33,Des Moines,99,8335
33,Duvall,99,1779
33,Enumclaw,99,5827
33,Federal Way,99,32437
33,Hunts Point,99,143
33,Issaquah,99,29713
33,Kenmore,99,4937
33,Kent,99,76373
33,Kirkland,99,58709
33,Lake Forest Park,99,2184
33,Maple Valley,99,6048
33,Medina,99,935
33,Mercer Island,99,9148
33,Milton,99,124
33,Newcastle,99,2990
33,Normandy Park,99,1043
33,North Bend,99,3706
33,Pacific,99,1355
33,Redmond,99,101730
33,Renton,99,74217
33,Sammamish,99,10369
33,SeaTac,99,44625
33,Seattle,99,683933
33,Shoreline,99,18465
33,Skykomish,99,71
33,Snoqualmie,99,5752
33,Tukwila,99,44750
33,Unincorporated,99,51026
33,Woodinville,99,15275
33,Yarrow Point,99,61
35,Bainbridge Island,99,9913
35,Bremerton,99,32206
35,Port Orchard,99,8748
35,Poulsbo,99,7690
35,Unincorporated,99,43359
53,Auburn,99,1355
53,Bonney Lake,99,6798
53,Buckley,99,2376
53,Carbonado,99,72
53,DuPont,99,6572
53,Eatonville,99,915
53,Edgewood,99,2062
53,Fife,99,16615
53,Fircrest,99,1613
53,Gig Harbor,99,12680
53,Lakewood,99,29723
53,Milton,99,2241
53,Orting,99,1534
53,Pacific,99,2204
53,Puyallup,99,31104
53,Roy,99,169
53,Ruston,99,627
53,South Prairie,99,98
53,Steilacoom,99,942
53,Sumner,99,18966
53,Tacoma,99,124388
53,Unincorporated,99,83757
53,University Place,99,7731
53,Wilkeson,99,76
61,Arlington,99,12835
61,Bothell,99,16460
61,Brier,99,618
61,Darrington,99,501
61,Edmonds,99,15872
61,Everett,99,92548
61,Gold Bar,99,245
61,Granite Falls,99,1148
61,Index,99,27
61,Lake Stevens,99,7492
61,Lynnwood,99,29437
61,Marysville,99,16695
61,Mill Creek,99,6983
61,Monroe,99,10574
61,Mountlake Terrace,99,9056
61,Mukilteo,99,9942
61,Snohomish,99,6725
61,Stanwood,99,3751
61,Sultan,99,1284
61,Unincorporated,99,72249
61,Woodway,99,175
